Name,Street Address,Postal Code,City,Country,lat,lng
Govinda's,243 Avenue Road,M5R 2J6,Toronto,Canada,,
Mama Bakery & Karahi,"62 Overlea Boulevard, UnitB10",M4H 1C4,East York,Canada,,
Roti Cuisine of India,308 Dupont Street,M5R 1W1,Toronto,Canada,,
Udupi Palace,1423 Gerrard Street East,M4L 1Z7,Toronto,Canada,,
The Cottage Cheese,64 Oxford Street,M5T 1P1,Toronto,Canada,,
Poppadum,874 Yonge Street,M4W 2J1,Toronto,Canada,,
Indian Street Food Company,1701 Bayview Avenue,M4G 3C1,Toronto,Canada,,
Indian Studio Kitchen,429 Yonge Street,M5B 1T1,Toronto,Canada,,
Hashtag Desi,"65 Front Street W, Bay Concourse Lower Level, Union Station",M5J 1E6,Toronto,Canada,,
Charcoal Biryani,"199 Bay Street, Commerce Court",M5L 0A2,Toronto,Canada,,
Colaba Junction,"801 Bay Street, Unit 3 & 4",M5S 1Y9,Toronto,Canada,,
Tandoori Masala,120 Queens Plate Drive,M9W 6P8,Etobicoke,Canada,,
Chaska,218 Adelaide St W,M5H 1W7,Toronto,Canada,,
Spice Dabba,1860 Eglinton Avenue W,M6E 2J4,York,Canada,,
Gully,521 Bloor Street W,M5S 1Y4,Toronto,Canada,,
Annalakshmi,"277 Wellington Street W, Unit 100B",M5V 3E4,Toronto,Canada,,
Vindaloo Indian Cuisine,2891 Kingston Road,M1M 1N3,Toronto,Canada,,
La Sani Grill - Dundas,275 Dundas Street W,M5T 2W5,Toronto,Canada,,
Motimahal,1422 Gerrard St E,M4L 1Z6,Toronto,Canada,,
Spice66,335 Yonge And Dundas,M5B 2L3,Toronto,Canada,,
The Bombay,259 Queen Street W,M5V 1Z4,Toronto,Canada,,
Ishq Traditiona Veg,2007 Eglinton Avenue E,M1L 2M9,Scarborough,Canada,,
Punjaabi Grand,150 Windflower Gate,L4L 9K8,Woodbridge,Canada,,
Samrat Indian Cuisine,648 College St,M6G 1B8,Toronto,Canada,,
South Indian Dosa Mahal,1285 Bloor Street W,M6H 1N7,Toronto,Canada,,
The Samosarie,"486 Front Street W, The Wellington Market",M5V 0V2,Toronto,Canada,,
Hyderabad Express,234 Parliament Street,M5A 3A4,Toronto,Canada,,
Butter Chicken Roti,"65 Front Street W, Union Station",M5J 1E3,Toronto,Canada,,
Matagali Restaurant,69 Elm Street,M5G 1H2,Toronto,Canada,,
